Unnamed: 0,Unnamed: 1,COLUM NAME,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,COLUM NAME.1,COLUM NAME.2,COLUM NAME.3,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,stop_number,,,,,,,,transport_mode,,,,,,,,,,,
,Journey_ID_S,Section_S,id,Country_Origin,Country_Destination,Pre_City_O,Post_City_O,Transport_Mode_O,Transport_Mode_S,,Post_City_S,Pre_Lon_O,Pre_Lat_O,Pre_Lon_S,Pre_Lat_S,Post_Lon_O,Post_Lat_O,Post_Lon_S,Post_Lat_S,kms_O,kms_S
,1,1,1_ES_PT_Material,DE,ES,AACHEN,ABRERA,Straße,Straße,LKM,ABRERA,6.14209,50.77733,1.710734544,41.34188959,1.901431,41.517349,1.901431,41.517349,1079.828617,25.18367919
,1,0,1_ES_PT_Material,DE,ES,AACHEN,ABRERA,Straße,Straße,LKM,Konso CE 0,6.14209,50.77733,6.14209,50.77733,1.901431,41.517349,9.193918912,51.71584759,1079.828617,237.3159046
,1,2,1_ES_PT_Material,DE,ES,AACHEN,ABRERA,Straße,Schiene,Bahn,Konso SW 2,6.14209,50.77733,9.193918912,51.71584759,1.901431,41.517349,1.710734544,41.34188959,1079.828617,6.122083585
,2,1,2_ES_PT_Material,DE,ES,AACHEN,BARCELONA,Straße,Straße,LKM,BARCELONA,6.12206,50.77793,1.710734544,41.34188959,2.13251,41.33313,2.13251,41.33313,1093.962322,35.31816949
,2,0,2_ES_PT_Material,DE,ES,AACHEN,BARCELONA,Straße,Straße,LKM,Konso CE 0,6.12206,50.77793,6.12206,50.77793,2.13251,41.33313,9.193918912,51.71584759,1093.962322,238.5418819
,2,2,2_ES_PT_Material,DE,ES,AACHEN,BARCELONA,Straße,Schiene,Bahn,Konso SW 2,6.12206,50.77793,9.193918912,51.71584759,2.13251,41.33313,1.710734544,41.34188959,1093.962322,0.45834186
,3,0,3_ES_PT_Material,DE,ES,AACHEN,MARTORELL,Straße,Straße,LKM,Konso CE 0,6.14209,50.77733,6.14209,50.77733,1.91572,41.48246,9.193918912,51.71584759,1083.220091,237.3159046
,3,2,3_ES_PT_Material,DE,ES,AACHEN,MARTORELL,Straße,Schiene,Bahn,Konso SW 2,6.14209,50.77733,9.193918912,51.71584759,1.91572,41.48246,1.710734544,41.34188959,1083.220091,23.68225874
,3,1,3_ES_PT_Material,DE,ES,AACHEN,MARTORELL,Straße,Straße,LKM,MARTORELL,6.14209,50.77733,1.710734544,41.34188959,1.91572,41.48246,1.91572,41.48246,1083.220091,23.18864739
,4,0,4_ES_PT_Material,DE,ES,AACHEN,VALDEMORO,Straße,Straße,LKM,Konso CE 0,6.14209,50.77733,6.14209,50.77733,-3.6825,40.18178,9.193918912,51.71584759,1403.728455,237.3159046
,4,2,4_ES_PT_Material,DE,ES,AACHEN,VALDEMORO,Straße,Schiene,Bahn,Konso SW 2,6.14209,50.77733,9.193918912,51.71584759,-3.6825,40.18178,1.710734544,41.34188959,1403.728455,2.678458918
,4,1,4_ES_PT_Material,DE,ES,AACHEN,VALDEMORO,Straße,Straße,LKM,VALDEMORO,6.14209,50.77733,1.710734544,41.34188959,-3.6825,40.18178,-3.6825,40.18178,1403.728455,473.1763044
,5,1,5_ES_PT_Material,DE,ES,AALEN,BARCELONA,Straße,Straße,LKM,BARCELONA,10.09816,48.85262,1.710734544,41.34188959,2.13251,41.33313,2.13251,41.33313,1043.544338,35.31816949
,5,0,5_ES_PT_Material,DE,ES,AALEN,BARCELONA,Straße,Straße,LKM,Konso CE 0,10.09816,48.85262,10.09816,48.85262,2.13251,41.33313,9.193918912,51.71584759,1043.544338,324.9688004
,5,2,5_ES_PT_Material,DE,ES,AALEN,BARCELONA,Straße,Schiene,Bahn,Konso SW 2,10.09816,48.85262,9.193918912,51.71584759,2.13251,41.33313,1.710734544,41.34188959,1043.544338,0.181821564
,79,1,79_ES_PT_Material,DE,ES,AITRACH,BARCELONA,Straße,Straße,LKM,BARCELONA,10.08973,47.93929,1.710734544,41.34188959,2.13251,41.33313,2.13251,41.33313,967.2533101,35.31816949
,79,0,79_ES_PT_Material,DE,ES,AITRACH,BARCELONA,Straße,Straße,LKM,Konso CE 2,10.08973,47.93929,10.08973,47.93929,2.13251,41.33313,13.15310452,50.01008793,967.2533101,321.4088959
,79,2,79_ES_PT_Material,DE,ES,AITRACH,BARCELONA,Straße,Schiene,Bahn,Konso SW 2,10.08973,47.93929,13.15310452,50.01008793,2.13251,41.33313,1.710734544,41.34188959,967.2533101,13.20282864
,97,1,97_ES_PT_Material,DE,ES,ALDINGEN,ARAZURI,Straße,Straße,LKM,ARAZURI,8.70398,48.09414,1.710734544,41.34188959,-1.71971,42.81539,-1.71971,42.81539,1003.061799,327.6998714
,97,0,97_ES_PT_Material,DE,ES,ALDINGEN,ARAZURI,Straße,Straße,LKM,Konso CE 0,8.70398,48.09414,8.70398,48.09414,-1.71971,42.81539,9.193918912,51.71584759,1003.061799,404.4295743
,97,2,97_ES_PT_Material,DE,ES,ALDINGEN,ARAZURI,Straße,Schiene,Bahn,Konso SW 2,8.70398,48.09414,9.193918912,51.71584759,-1.71971,42.81539,1.710734544,41.34188959,1003.061799,0.092047167
,98,1,98_ES_PT_Material,DE,ES,ALDINGEN,BARCELONA,Straße,Straße,LKM,BARCELONA,8.70398,48.09414,1.710734544,41.34188959,2.13251,41.33313,2.13251,41.33313,913.3780446,35.31816949
,98,0,98_ES_PT_Material,DE,ES,ALDINGEN,BARCELONA,Straße,Straße,LKM,Konso CE 0,8.70398,48.09414,8.70398,48.09414,2.13251,41.33313,9.193918912,51.71584759,913.3780446,404.4295743
,98,2,98_ES_PT_Material,DE,ES,ALDINGEN,BARCELONA,Straße,Schiene,Bahn,Konso SW 2,8.70398,48.09414,9.193918912,51.71584759,2.13251,41.33313,1.710734544,41.34188959,913.3780446,18.94732217
,99,0,99_ES_PT_Material,DE,ES,ALDINGEN,MARTORELL,Straße,Straße,LKM,Konso CE 0,8.70398,48.09414,8.70398,48.09414,1.91572,41.48246,9.193918912,51.71584759,909.397075,404.4295743
,99,2,99_ES_PT_Material,DE,ES,ALDINGEN,MARTORELL,Straße,Schiene,Bahn,Konso SW 2,8.70398,48.09414,9.193918912,51.71584759,1.91572,41.48246,1.710734544,41.34188959,909.397075,0.12613871
,99,1,99_ES_PT_Material,DE,ES,ALDINGEN,MARTORELL,Straße,Straße,LKM,MARTORELL,8.70398,48.09414,1.710734544,41.34188959,1.91572,41.48246,1.91572,41.48246,909.397075,23.18864739
,114,1,114_ES_PT_Material,DE,ES,ALTENA,ARAZURI,Straße,Straße,LKM,ARAZURI,7.67325,51.29871,1.710734544,41.34188959,-1.71971,42.81539,-1.71971,42.81539,1180.969393,327.6998714
,114,0,114_ES_PT_Material,DE,ES,ALTENA,ARAZURI,Straße,Straße,LKM,Konso CE 0,7.67325,51.29871,7.67325,51.29871,-1.71971,42.81539,9.193918912,51.71584759,1180.969393,115.3462586
,114,2,114_ES_PT_Material,DE,ES,ALTENA,ARAZURI,Straße,Schiene,Bahn,Konso SW 2,7.67325,51.29871,9.193918912,51.71584759,-1.71971,42.81539,1.710734544,41.34188959,1180.969393,22.42844754
,115,1,115_ES_PT_Material,DE,ES,ALTENA,BARCELONA,Straße,Straße,LKM,BARCELONA,7.67325,51.29871,1.710734544,41.34188959,2.13251,41.33313,2.13251,41.33313,1186.308499,35.31816949
,115,0,115_ES_PT_Material,DE,ES,ALTENA,BARCELONA,Straße,Straße,LKM,Konso CE 0,7.67325,51.29871,7.67325,51.29871,2.13251,41.33313,9.193918912,51.71584759,1186.308499,115.3462586
,115,2,115_ES_PT_Material,DE,ES,ALTENA,BARCELONA,Straße,Schiene,Bahn,Konso SW 2,7.67325,51.29871,9.193918912,51.71584759,2.13251,41.33313,1.710734544,41.34188959,1186.308499,10.30966149
,117,1,117_ES_PT_Material,DE,ES,ALTENSTEIG,BARCELONA,Straße,Straße,LKM,BARCELONA,8.60631,48.58866,1.710734544,41.34188959,2.13251,41.33313,2.13251,41.33313,953.6845129,35.31816949
,117,0,117_ES_PT_Material,DE,ES,ALTENSTEIG,BARCELONA,Straße,Straße,LKM,Konso CE 0,8.60631,48.58866,8.60631,48.58866,2.13251,41.33313,9.193918912,51.71584759,953.6845129,350.4247979
,117,2,117_ES_PT_Material,DE,ES,ALTENSTEIG,BARCELONA,Straße,Schiene,Bahn,Konso SW 2,8.60631,48.58866,9.193918912,51.71584759,2.13251,41.33313,1.710734544,41.34188959,953.6845129,0.363643128
,145,1,145_ES_PT_Material,DE,ES,ANNABERG-BUCHHOLZ,BARCELONA,Straße,Straße,LKM,BARCELONA,13.00214,50.58043,1.710734544,41.34188959,2.13251,41.33313,2.13251,41.33313,1326.282136,35.31816949
